product_id,title,authors,original_price,current_price,quantity,category,n_review,avg_rating,pages,manufacturer,cover_link
11452589,Luật Nhân Quả - Hãy Tự Mình Thay Đổi Số Phận Để Được Hạnh Phúc Viên Mãn,Hạnh Nguyên,230000,230000,105,Luật Nhân Quả - Hãy Tự Mình Thay Đổi Số Phận Để Được Hạnh Phúc Viên Mãn,17,4.6,392,Nhà Xuất Bản Hồng Đức,https://salt.tikicdn.com/ts/product/4f/6c/f3/9aa5bb242c5508fbfc3f82bdcc373170.jpg
76688366,Leader Mindset - Thay Đổi Tư Duy Lãnh Đạo - LOAN VĂN SƠN,,500000,315000,1075,"Sách quản trị, lãnh đạo",191,5,358,Nhà Xuất Bản Thanh Niên,https://salt.tikicdn.com/ts/product/ae/6f/fe/e8ec686e673210425393eb74d3166747.png
184080345,ComBo: Cuốn Sách Kể Về Cuộc Đời Của Những Thiên Tài: Elbert Einstein + Thomas Edison+ Andersen+ Leonardo Da Vinci+ Marie Curie + Lev Tolstoy+ Isaac Newton+ Alfred Nobe+ Beethoven+ Victor Hugo ( Bộ: 10 Cuốn),Rasmus Hoài Nam,600000,374400,54,Kiến thức - Bách khoa,10,4.8,,Nhà Xuất Bản Thanh Niên,https://salt.tikicdn.com/ts/product/06/0e/04/e36d1e378ef908ddddee2d2882e8e7b2.png
4780907,Oscar Và Bà Áo Hồng (Tái Bản),Eric Emmanuel Schmitt,55000,33000,2841,Tiểu Thuyết,171,5,,,https://salt.tikicdn.com/ts/product/45/2d/2b/758c017df2dafbd15d9a67c7eb83d21d.jpg
49506137,Dạy Con Làm Giàu - Tập 3: Hướng Dẫn Đầu Tư (Tái Bản 2020),Robert T. Kiyosaki,155000,100200,3707,Bài học kinh doanh,601,5,530,NXB Trẻ,https://salt.tikicdn.com/ts/product/c6/02/6a/5720f96a55f7c4f8a7ad8954c78d4b4b.jpg
205039751,Đúng Lúc Sẽ Hạnh Phúc Đúng Người Sẽ Bình Yên,Hẻoo,92000,72100,20,Truyện ngắn - Tản văn - Tạp Văn,1,5,232,Nhà Xuất Bản Phụ Nữ,https://salt.tikicdn.com/ts/product/4b/30/2a/78e70394cecce3719f7b8b78e4e3799a.jpg
185242029,Vũ Điệu Quỷ Satan,Krasznahorkai László,158000,117000,205,Tiểu Thuyết,39,4.8,376,Nhà Xuất Bản Văn Học,https://salt.tikicdn.com/ts/product/08/96/74/d114550ba2f166276508637b98667a79.jpg
197558907,Bá Tước Tiểu Thư - Tập 4,Chieko Hosokawa,30000,26001,255,Bá Tước Tiểu Thư - Tập 4,22,5,,Nhà Xuất Bản Kim Đồng,https://salt.tikicdn.com/ts/product/0e/75/d3/17e881f3c2b636f720e930b9d69d47c0.jpg
170708216,Kết Thúc Bán Hàng Đòn Quyết Định (Tái Bản),Brian Tracy,109000,72000,165,Sách Marketing - Bán hàng ,14,4.7,252,Nhà Xuất Bản Khoa học & kỹ thuật,https://salt.tikicdn.com/ts/product/8b/e4/de/f548dce652676e4b4a907f1ceb311d68.jpg
108501279,Viết Đi Đừng Sợ! Từ Tay Không Thành Tay Viết,Linh Phan,245000,171500,1574,Sách Marketing - Bán hàng ,309,5,228,Nhà Xuất Bản Lao Động,https://salt.tikicdn.com/ts/product/cf/b0/16/8d8275b11faf028126e88c6b12b73e7b.jpg
45321596,Bách Khoa Thư Thực Tế Ảo Tăng Cường - Khủng Long 3D Tập 2,DEVAR,130000,123500,9,Kiến thức - Bách khoa,0,0,56,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/83/0b/42/2922a10510d4505157e081f0fda03cb8.jpg
196019293,"Sách - Kinh Địa Tạng Bồ Tát Bổn Nguyện Bìa Da,Bìa Thường",HT.Thích Trí Tịnh,40000,32000,220,"Sách - Kinh Địa Tạng Bồ Tát Bổn Nguyện Bìa Da,Bìa Thường",19,4.8,242,Nhà Xuất Bản Tôn Giáo,https://salt.tikicdn.com/ts/product/80/5a/e9/df8ff94758da62fe4e3959d22feabc22.png
